,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
192607,   0.34,  -5.19,   1.26,   2.88,  10.97,  -0.62,   7.98,   1.11,   7.88,   0.28,   2.01,   3.77,   5.24,   3.17,  15.89,   0.50,   5.61,   0.76,  -1.46,   6.89,   0.83,   8.44,   1.83,   7.09,   1.59, -23.79,  -0.17,   1.62,  -0.08,   5.20
192608,   2.49,  27.03,   5.89,   0.50,  10.01,  -4.31,  -2.71,   3.59,   5.48,   7.97,   4.64,   1.63,   1.50,   2.10,   3.64,   1.61,   0.52,   0.85,   3.31,  -2.07,   2.17,   2.02,   3.23,  -2.75,   4.42,   5.39,  -0.98,  -0.54,   4.19,   6.68
192609,   0.40,   4.02,   0.60,   5.36,  -1.66,   0.25,  -1.36,   0.52,   4.49,   1.66,  -1.45,  -0.36,  -0.15,  -1.50,   4.51,   2.09,   0.05,   0.30,  -4.20,   1.65,   0.89,   1.66,  -0.15,  -5.56,  -0.25,  -7.87,   0.09,  -1.26,  -1.93,  -3.86
192610,  -3.40,  -3.31,   1.03,  -4.81,   9.47,  -5.16,   0.02,  -1.20,  -4.98,   0.41,  -4.63,  -4.15,   1.01,  -5.74,  -8.17,  -6.07,  -3.23,   1.46,  -1.10,  -2.88,  -0.11,  -2.70,  -1.30,  -5.67,  -2.92, -15.38,  -2.44,  -4.37,  -5.57,  -8.49
192611,   6.24,   7.29,   3.99,   1.61,  -6.80,  -1.16,   1.67,   4.78,   5.16,   3.10,   2.15,   3.30,   2.30,   5.08,  -2.92,   7.82,   8.43,  -0.48,  -0.63,   3.31,   1.63,   3.77,   2.64,   3.41,   1.09,   4.67,   5.98,   3.89,   2.05,   3.91
192612,  -1.38,  -4.09,   1.91,   0.42,  -1.99,   1.70,  -0.34,  -0.68,   3.38,   5.74,   1.86,   3.05,   4.44,  -3.42,  10.17,   1.63,  -0.18,   1.43,   2.27,  -0.67,   0.51,   5.63,   6.87,  -4.65,   2.93,   9.65,   0.41,   0.64,   1.60,  -2.34
192701,  -1.20,  -0.56,  -0.38,   1.75,   9.67,   3.70,  -1.17,   4.43,  -0.08,  -2.10,  -2.02,  -0.66,   1.01,  -1.03,  -1.05,  -1.11,   4.00,  -4.30,   1.56,  -1.99,   1.88,   1.42,  -1.65,  -3.24,   1.07, -17.93,  -2.95,   1.41,  -2.14,  -3.96
192702,   4.32,  12.83,   0.69,   1.41,   1.41,   3.74,   2.57,   1.08,   9.67,   7.66,   4.15,   3.14,   7.35,   4.30,   8.71,   4.55,   5.17,   5.64,   0.59,   4.13,   3.97,   8.90,   3.93,   5.01,   4.76,   3.49,   2.97,   6.31,   2.38,  -0.86
192703,   1.01, -13.56,   4.87,  -0.14,  -1.05,  -0.59,   0.00,   0.81,   5.17,  -5.87,   2.37,   0.90,  -2.73,  -0.56,   1.29,  -2.39,   2.97,   5.45,  -7.57,  -0.06,   4.16,  -8.30,   3.89,  -9.69,   0.61, -20.47,  -0.46,  -2.88,   0.43,   2.18
192704,   2.53,   1.68,   3.97,  -3.89,  -0.96,   1.13,   5.85,   2.16,   2.68,  -0.16,  -1.01,  -0.62,   1.66,   6.29,   2.69,  -1.25,   2.77,   0.25,  -5.95,   1.46,  -2.13,   2.79,   3.10,   4.24,   0.58, -10.75,   3.73,   5.43,   2.38,   5.11
